"Step","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed3407_merge - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed3407_merge - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed3407_merge - eval/avg episode reward__MAX","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed42_merge - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed42_merge - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed42_merge - eval/avg episode reward__MAX","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed0_merge - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed0_merge - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed0_merge - eval/avg episode reward__MAX","2025-04-29_20-43-19_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed3407 - eval/avg episode reward","2025-04-29_20-43-19_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed3407 - eval/avg episode reward__MIN","2025-04-29_20-43-19_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed3407 - eval/avg episode reward__MAX","2025-04-29_20-43-13_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed0 - eval/avg episode reward","2025-04-29_20-43-13_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed0 - eval/avg episode reward__MIN","2025-04-29_20-43-13_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed0 - eval/avg episode reward__MAX","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-16_20-03-21_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_mlp_ta4_td20_tdf4_seed42 - eval/avg episode reward","2025-04-16_20-03-21_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_mlp_ta4_td20_tdf4_seed42 - eval/avg episode reward__MIN","2025-04-16_20-03-21_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_mlp_ta4_td20_tdf4_seed42 - eval/avg episode reward__MAX","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX"
"100","3873.722177016802","3873.722177016802","3873.722177016802","3940.7734419504295","3940.7734419504295","3940.7734419504295","3892.49255654578","3892.49255654578","3892.49255654578","3514.977101975653","3514.977101975653","3514.977101975653","3596.8083146313134","3596.8083146313134","3596.8083146313134","3913.3351221510684","3913.3351221510684","3913.3351221510684","3849.1507340189055","3849.1507340189055","3849.1507340189055","3777.408932868652","3777.408932868652","3777.408932868652","3514.6302549620887","3514.6302549620887","3514.6302549620887","3548.644663620061","3548.644663620061","3548.644663620061","3673.2300279234782","3673.2300279234782","3673.2300279234782","3467.651947449176","3467.651947449176","3467.651947449176"
"110","3872.2002028592265","3872.2002028592265","3872.2002028592265","3974.674868252295","3974.674868252295","3974.674868252295","3898.630155435722","3898.630155435722","3898.630155435722","3416.7836820314565","3416.7836820314565","3416.7836820314565","3632.2682547010227","3632.2682547010227","3632.2682547010227","3887.224582975403","3887.224582975403","3887.224582975403","3887.2755438613226","3887.2755438613226","3887.2755438613226","3809.477145089762","3809.477145089762","3809.477145089762","3535.9101117034706","3535.9101117034706","3535.9101117034706","3534.7904986066033","3534.7904986066033","3534.7904986066033","3758.2044679656296","3758.2044679656296","3758.2044679656296","3444.9230321093746","3444.9230321093746","3444.9230321093746"
"120","3973.195923487516","3973.195923487516","3973.195923487516","4014.2208822736347","4014.2208822736347","4014.2208822736347","3841.86354678244","3841.86354678244","3841.86354678244","3495.4521749068226","3495.4521749068226","3495.4521749068226","3615.284905037457","3615.284905037457","3615.284905037457","3905.465970065121","3905.465970065121","3905.465970065121","3918.3674416230874","3918.3674416230874","3918.3674416230874","3821.697711075399","3821.697711075399","3821.697711075399","3375.206733170858","3375.206733170858","3375.206733170858","3551.308788356501","3551.308788356501","3551.308788356501","3750.4848531177727","3750.4848531177727","3750.4848531177727","3540.0996921388237","3540.0996921388237","3540.0996921388237"
"130","3968.1758251242295","3968.1758251242295","3968.1758251242295","4049.2972400474378","4049.2972400474378","4049.2972400474378","3846.6622917730556","3846.6622917730556","3846.6622917730556","3445.647546605776","3445.647546605776","3445.647546605776","3559.689217588739","3559.689217588739","3559.689217588739","3997.8803836287975","3997.8803836287975","3997.8803836287975","3961.2979576791668","3961.2979576791668","3961.2979576791668","3882.3228105780627","3882.3228105780627","3882.3228105780627","3427.9494024035494","3427.9494024035494","3427.9494024035494","3554.464686611852","3554.464686611852","3554.464686611852","3670.187866695806","3670.187866695806","3670.187866695806","3517.691631804934","3517.691631804934","3517.691631804934"
"140","4050.4605638805106","4050.4605638805106","4050.4605638805106","4004.8874149179123","4004.8874149179123","4004.8874149179123","3888.227505368558","3888.227505368558","3888.227505368558","3508.048938379805","3508.048938379805","3508.048938379805","3572.811462965042","3572.811462965042","3572.811462965042","3992.077080540893","3992.077080540893","3992.077080540893","4006.8105873217983","4006.8105873217983","4006.8105873217983","3872.3704521569466","3872.3704521569466","3872.3704521569466","3247.6556785199245","3247.6556785199245","3247.6556785199245","3466.263597820035","3466.263597820035","3466.263597820035","3710.344441347764","3710.344441347764","3710.344441347764","3553.1217177310286","3553.1217177310286","3553.1217177310286"
"150","4061.559117368445","4061.559117368445","4061.559117368445","4042.329919750811","4042.329919750811","4042.329919750811","3898.803722423056","3898.803722423056","3898.803722423056","3455.4070731443962","3455.4070731443962","3455.4070731443962","3557.0720526853415","3557.0720526853415","3557.0720526853415","4056.522297120295","4056.522297120295","4056.522297120295","4005.6029347756657","4005.6029347756657","4005.6029347756657","3890.4650988927724","3890.4650988927724","3890.4650988927724","3391.661655642977","3391.661655642977","3391.661655642977","3442.3158915013364","3442.3158915013364","3442.3158915013364","3697.066987200183","3697.066987200183","3697.066987200183","3573.230109505615","3573.230109505615","3573.230109505615"
"160","4069.0710861566354","4069.0710861566354","4069.0710861566354","4079.2358837731576","4079.2358837731576","4079.2358837731576","3857.767251858296","3857.767251858296","3857.767251858296","3485.4312075484777","3485.4312075484777","3485.4312075484777","3536.190312297958","3536.190312297958","3536.190312297958","4065.2106809441802","4065.2106809441802","4065.2106809441802","3997.4289837188044","3997.4289837188044","3997.4289837188044","3914.9705261974586","3914.9705261974586","3914.9705261974586","3287.351695087865","3287.351695087865","3287.351695087865","3526.395593346745","3526.395593346745","3526.395593346745","3635.5863820718346","3635.5863820718346","3635.5863820718346","3613.3240935471867","3613.3240935471867","3613.3240935471867"
"170","4045.0148877689776","4045.0148877689776","4045.0148877689776","4026.8417950145013","4026.8417950145013","4026.8417950145013","3881.5929174402454","3881.5929174402454","3881.5929174402454","3547.7530864585906","3547.7530864585906","3547.7530864585906","3653.914958049597","3653.914958049597","3653.914958049597","4120.444033247679","4120.444033247679","4120.444033247679","4061.1446834884723","4061.1446834884723","4061.1446834884723","3895.633735774333","3895.633735774333","3895.633735774333","3274.026870907609","3274.026870907609","3274.026870907609","3410.9725542596525","3410.9725542596525","3410.9725542596525","3665.469347403171","3665.469347403171","3665.469347403171","3629.563084470677","3629.563084470677","3629.563084470677"
"180","4030.245151620893","4030.245151620893","4030.245151620893","4064.335008112516","4064.335008112516","4064.335008112516","3852.522332275479","3852.522332275479","3852.522332275479","3475.167982601888","3475.167982601888","3475.167982601888","3605.043218372483","3605.043218372483","3605.043218372483","4101.073013967258","4101.073013967258","4101.073013967258","4153.129555168138","4153.129555168138","4153.129555168138","3890.6083752127633","3890.6083752127633","3890.6083752127633","3448.5902503521725","3448.5902503521725","3448.5902503521725","3362.59828194004","3362.59828194004","3362.59828194004","3665.9672503977868","3665.9672503977868","3665.9672503977868","3545.0648653050885","3545.0648653050885","3545.0648653050885"
"190","4024.640796966852","4024.640796966852","4024.640796966852","4094.107126056285","4094.107126056285","4094.107126056285","3831.8336588477264","3831.8336588477264","3831.8336588477264","3404.9188243423732","3404.9188243423732","3404.9188243423732","3560.8789020654976","3560.8789020654976","3560.8789020654976","4144.302480517295","4144.302480517295","4144.302480517295","4145.034922467761","4145.034922467761","4145.034922467761","3894.819240204249","3894.819240204249","3894.819240204249","3267.4842853268988","3267.4842853268988","3267.4842853268988","3443.8895393596713","3443.8895393596713","3443.8895393596713","3648.645237043701","3648.645237043701","3648.645237043701","3662.6628476462856","3662.6628476462856","3662.6628476462856"
